iShares MSCI World ETF,,,,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,
AAPL,APPLE INC,Information Technology,Equity,"45,249,778.53",3.9,"45,249,778.53","364,947.00",37833100,US0378331005,2046251,123.99,United States,NASDAQ,USD,1,USD,
MSFT,MICROSOFT CORP,Information Technology,Equity,"35,945,184.42",3.1,"35,945,184.42","153,082.00",594918104,US5949181045,2588173,234.81,United States,NASDAQ,USD,1,USD,
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"28,086,431.52",2.42,"28,086,431.52","9,114.00",23135106,US0231351067,2000019,"3,081.68",United States,NASDAQ,USD,1,USD,
FB,FACEBOOK CLASS A INC,Communication,Equity,"14,039,542.50",1.21,"14,039,542.50","51,286.00",30303M102,US30303M1027,B7TL820,273.75,United States,NASDAQ,USD,1,USD,
GOOG,ALPHABET INC CLASS C,Communication,Equity,"13,163,541.30",1.13,"13,163,541.30","6,370.00",02079K107,US02079K1079,BYY88Y7,"2,066.49",United States,NASDAQ,USD,1,USD,
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"13,092,946.12",1.13,"13,092,946.12","6,373.00",02079K305,US02079K3059,BYVY8G0,"2,054.44",United States,NASDAQ,USD,1,USD,
TSLA,TESLA INC,Consumer Discretionary,Equity,"11,485,618.56",0.99,"11,485,618.56","16,224.00",88160R101,US88160R1014,B616C79,707.94,United States,NASDAQ,USD,1,USD,
JPM,JPMORGAN CHASE & CO,Financials,Equity,"9,874,540.35",0.85,"9,874,540.35","63,555.00",46625H100,US46625H1005,2190385,155.37,United States,New York Stock Exchange Inc.,USD,1,USD,
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"9,025,068.78",0.78,"9,025,068.78","56,259.00",478160104,US4781601046,2475833,160.42,United States,New York Stock Exchange Inc.,USD,1,USD,
V,VISA INC CLASS A,Information Technology,Equity,"7,935,239.07",0.68,"7,935,239.07","35,541.00",92826C839,US92826C8394,B2PZN04,223.27,United States,New York Stock Exchange Inc.,USD,1,USD,
DIS,WALT DISNEY,Communication,Equity,"7,603,593.44",0.65,"7,603,593.44","38,644.00",254687106,US2546871060,2270726,196.76,United States,New York Stock Exchange Inc.,USD,1,USD,
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"7,602,145.38",0.65,"7,602,145.38","29,858.00",84670702,US0846707026,2073390,254.61,United States,New York Stock Exchange Inc.,USD,1,USD,
MA,MASTERCARD INC CLASS A,Information Technology,Equity,"7,363,005.12",0.63,"7,363,005.12","19,287.00",57636Q104,US57636Q1040,B121557,381.76,United States,New York Stock Exchange Inc.,USD,1,USD,
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"7,158,638.52",0.62,"7,158,638.52","20,229.00",91324P102,US91324P1021,2917766,353.88,United States,New York Stock Exchange Inc.,USD,1,USD,
NVDA,NVIDIA CORP,Information Technology,Equity,"6,914,853.25",0.6,"6,914,853.25","13,105.00",67066G104,US67066G1040,2379504,527.65,United States,NASDAQ,USD,1,USD,
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"6,805,066.48",0.59,"6,805,066.48","52,933.00",742718109,US7427181091,2704407,128.56,United States,New York Stock Exchange Inc.,USD,1,USD,
NESN,NESTLE SA,Consumer Staples,Equity,"6,584,290.58",0.57,"6,584,290.58","60,906.00",S71238703,CH0038863350,7123870,108.11,Switzerland,SIX Swiss Exchange,USD,0.93,CHF,
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"6,392,493.00",0.55,"6,392,493.00","22,950.00",437076102,US4370761029,2434209,278.54,United States,New York Stock Exchange Inc.,USD,1,USD,
BAC,BANK OF AMERICA CORP,Financials,Equity,"6,174,918.50",0.53,"6,174,918.50","163,574.00",60505104,US0605051046,2295677,37.75,United States,New York Stock Exchange Inc.,USD,1,USD,
PYPL,PAYPAL HOLDINGS INC,Information Technology,Equity,"6,029,517.60",0.52,"6,029,517.60","24,120.00",70450Y103,US70450Y1038,BYW36M8,249.98,United States,NASDAQ,USD,1,USD,
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"5,757,621.61",0.5,"5,757,621.61","90,259.00",458140100,US4581401001,2463247,63.79,United States,NASDAQ,USD,1,USD,
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"5,503,147.21",0.47,"5,503,147.21","95,657.00",20030N101,US20030N1019,2044545,57.53,United States,NASDAQ,USD,1,USD,
XOM,EXXON MOBIL CORP,Energy,Equity,"5,304,355.65",0.46,"5,304,355.65","87,835.00",30231G102,US30231G1022,2326618,60.39,United States,New York Stock Exchange Inc.,USD,1,USD,
